order_id,line_id,order_date,order_month,customer_id,city,region,sales_channel,payment_method,age_band,loyalty_tier,product_id,category,sub_category,product_name,brand,quantity,unit_price,discount_pct,line_revenue,line_cost,line_margin,returned_flag,return_reason,refund_amount,net_revenue,customer_rating
O00039,L000046,2026-04-08,2026-04,C0475,Ahmedabad,West,Marketplace,UPI,45-54,Silver,P033,Office,Furniture,Standing Desk Converter,WorkNest,1,7208.97,19,5839.27,4450.0,1389.27,0,Not Returned,0.0,5839.27,3.6
O00040,L000047,2026-02-19,2026-02,C0370,Pune,West,Website,Credit Card,25-34,Basic,P029,Travel,Tech,Universal Travel Adapter,ConnectPro,1,1646.97,12,1449.33,700.0,749.33,0,Not Returned,0.0,1449.33,4.5
O00041,L000048,2026-03-21,2026-03,C0520,Mumbai,West,App,UPI,25-34,Gold,P014,Home,Decor,Aroma Diffuser,LumaHome,1,1499.0,5,1424.05,620.0,804.05,0,Not Returned,0.0,1424.05,3.1
O00042,L000049,2026-03-08,2026-03,C0500,Bengaluru,South,Website,Debit Card,35-44,Silver,P006,Fitness,Wearables,Heart Rate Band,PulseTrack,4,2399.04,11,8540.58,5680.0,2860.58,0,Not Returned,0.0,8540.58,3.6
O00044,L000050,2026-03-11,2026-03,C0298,Bengaluru,South,App,Debit Card,18-24,Silver,P010,Home,Kitchen,Smoothie Blender,HomeJoy,3,2999.0,23,6927.69,5130.0,1797.69,0,Not Returned,0.0,6927.69,4.2
O00045,L000051,2026-01-15,2026-01,C0235,Pune,West,App,UPI,35-44,Silver,P015,Office,Furniture,Ergonomic Chair,WorkNest,1,8999.0,11,8009.11,6100.0,1909.11,0,Not Returned,0.0,8009.11,4.0
O00046,L000052,2026-05-02,2026-05,C0314,Delhi NCR,North,App,Credit Card,25-34,Basic,P001,Fitness,Equipment,Smart Skipping Rope,FitPulse,1,1247.04,12,1097.4,610.0,487.4,0,Not Returned,0.0,1097.4,4.3
O00047,L000053,2026-01-02,2026-01,C0251,Mumbai,West,Website,UPI,35-44,Gold,P016,Office,Accessories,Laptop Stand,WorkNest,1,1299.0,11,1156.11,520.0,636.11,0,Not Returned,0.0,1156.11,4.8
O00047,L000054,2026-01-02,2026-01,C0251,Mumbai,West,Website,UPI,35-44,Gold,P018,Office,Accessories,Vertical Mouse,KeyCraft,1,1439.04,12,1266.36,760.0,506.36,0,Not Returned,0.0,1266.36,4.8
O00048,L000055,2026-01-19,2026-01,C0064,Kochi,South,App,UPI,35-44,Gold,P013,Home,Cleaning,Handheld Vacuum,HomeJoy,1,4588.98,0,4588.98,2950.0,1638.98,0,Not Returned,0.0,4588.98,4.1
O00049,L000056,2026-03-16,2026-03,C0446,Ahmedabad,West,App,Credit Card,18-24,Basic,P024,Wellness,Hydration,Infuser Water Bottle,PureSip,1,767.04,0,767.04,260.0,507.04,0,Not Returned,0.0,767.04,3.9
O00050,L000057,2026-03-18,2026-03,C0509,Mumbai,West,Website,Credit Card,55+,Basic,P030,Travel,Bags,Anti-Theft Sling Bag,TripEase,1,1823.04,26,1349.05,760.0,589.05,0,Not Returned,0.0,1349.05,3.8
O00051,L000058,2026-04-14,2026-04,C0057,Delhi NCR,North,Website,Debit Card,55+,Gold,P015,Office,Furniture,Ergonomic Chair,WorkNest,1,8999.0,1,8909.01,6100.0,2809.01,0,Not Returned,0.0,8909.01,4.1
O00052,L000059,2026-01-12,2026-01,C0446,Ahmedabad,West,App,Credit Card,18-24,Basic,P011,Home,Storage,Foldable Storage Box,NestEasy,1,749.0,0,749.0,250.0,499.0,0,Not Returned,0.0,749.0,3.4
O00052,L000060,2026-01-12,2026-01,C0446,Ahmedabad,West,App,Credit Card,18-24,Basic,P001,Fitness,Equipment,Smart Skipping Rope,FitPulse,1,1247.04,1,1234.57,610.0,624.57,1,Changed mind,1234.57,0.0,3.4
O00053,L000061,2026-01-26,2026-01,C0298,Bengaluru,South,Marketplace,Credit Card,18-24,Silver,P025,Wellness,Mindfulness,Meditation Cushion,ZenMove,1,1834.98,13,1596.43,850.0,746.43,0,Not Returned,0.0,1596.43,3.8
O00054,L000062,2026-02-09,2026-02,C0358,Ahmedabad,West,App,UPI,35-44,Basic,P007,Fitness,Apparel,Activewear Set,MoveWear,1,2242.98,6,2108.4,1020.0,1088.4,0,Not Returned,0.0,2108.4,3.9
O00054,L000063,2026-02-09,2026-02,C0358,Ahmedabad,West,App,UPI,35-44,Basic,P011,Home,Storage,Foldable Storage Box,NestEasy,1,734.02,8,675.3,250.0,425.3,0,Not Returned,0.0,675.3,3.9
O00055,L000064,2026-03-19,2026-03,C0034,Delhi NCR,North,Website,Credit Card,35-44,Basic,P010,Home,Kitchen,Smoothie Blender,HomeJoy,1,2999.0,6,2819.06,1710.0,1109.06,0,Not Returned,0.0,2819.06,4.0
O00056,L000065,2026-01-24,2026-01,C0251,Mumbai,West,Website,UPI,35-44,Gold,P012,Home,Lighting,Smart Desk Lamp,LumaHome,2,2264.97,15,3850.45,2360.0,1490.45,0,Not Returned,0.0,3850.45,4.0
O00056,L000066,2026-01-24,2026-01,C0251,Mumbai,West,Website,UPI,35-44,Gold,P005,Fitness,Accessories,Foam Roller,ZenMove,1,979.02,13,851.75,410.0,441.75,0,Not Returned,0.0,851.75,4.0
O00057,L000067,2026-04-01,2026-04,C0129,Kochi,South,Website,Debit Card,25-34,Basic,P002,Fitness,Equipment,Resistance Band Set,FitPulse,2,899.0,0,1798.0,640.0,1158.0,0,Not Returned,0.0,1798.0,3.9
O00058,L000068,2026-03-24,2026-03,C0423,Pune,West,Marketplace,UPI,25-34,Basic,P010,Home,Kitchen,Smoothie Blender,HomeJoy,2,2999.0,18,4918.36,3420.0,1498.36,0,Not Returned,0.0,4918.36,4.2
O00059,L000069,2026-03-28,2026-03,C0099,Chennai,South,Website,Debit Card,18-24,Gold,P014,Home,Decor,Aroma Diffuser,LumaHome,1,1499.0,19,1214.19,620.0,594.19,0,Not Returned,0.0,1214.19,4.6
O00060,L000070,2026-04-23,2026-04,C0042,Bengaluru,South,App,Net Banking,25-34,Basic,P014,Home,Decor,Aroma Diffuser,LumaHome,1,1439.04,1,1424.65,620.0,804.65,0,Not Returned,0.0,1424.65,4.8
O00061,L000071,2026-01-02,2026-01,C0537,Kochi,South,Website,Credit Card,25-34,Silver,P016,Office,Accessories,Laptop Stand,WorkNest,1,1247.04,10,1122.34,520.0,602.34,0,Not Returned,0.0,1122.34,4.5
O00062,L000072,2026-01-08,2026-01,C0377,Pune,West,Website,Cash on Delivery,25-34,Basic,P008,Fitness,Apparel,Compression T-Shirt,MoveWear,1,1199.0,10,1079.1,520.0,559.1,0,Not Returned,0.0,1079.1,4.3
O00062,L000073,2026-01-08,2026-01,C0377,Pune,West,Website,Cash on Delivery,25-34,Basic,P035,Travel,Accessories,Luggage Scale,TripEase,2,799.0,8,1470.16,420.0,1050.16,0,Not Returned,0.0,1470.16,4.3
O00062,L000074,2026-01-08,2026-01,C0377,Pune,West,Website,Cash on Delivery,25-34,Basic,P033,Office,Furniture,Standing Desk Converter,WorkNest,1,6859.02,11,6104.53,4450.0,1654.53,0,Not Returned,0.0,6104.53,4.3
O00063,L000075,2026-02-20,2026-02,C0527,Mumbai,West,App,UPI,35-44,Basic,P031,Fitness,Equipment,Kettlebell 8KG,IronFlex,1,2599.0,10,2339.1,1600.0,739.1,0,Not Returned,0.0,2339.1,4.1
O00064,L000076,2026-01-26,2026-01,C0064,Kochi,South,Website,Credit Card,35-44,Gold,P023,Wellness,Hydration,Copper Bottle,PureSip,2,999.0,13,1738.26,720.0,1018.26,0,Not Returned,0.0,1738.26,4.5
O00065,L000077,2026-03-10,2026-03,C0392,Kochi,South,Website,Credit Card,25-34,Gold,P011,Home,Storage,Foldable Storage Box,NestEasy,2,734.02,0,1468.04,500.0,968.04,0,Not Returned,0.0,1468.04,4.4
O00066,L000078,2026-05-29,2026-05,C0154,Delhi NCR,North,App,UPI,25-34,Basic,P014,Home,Decor,Aroma Diffuser,LumaHome,1,1543.97,7,1435.89,620.0,815.89,0,Not Returned,0.0,1435.89,3.3
O00067,L000079,2026-03-17,2026-03,C0294,Mumbai,West,App,Credit Card,45-54,Basic,P007,Fitness,Apparel,Activewear Set,MoveWear,2,2155.02,27,3146.33,2040.0,1106.33,0,Not Returned,0.0,3146.33,4.3
O00067,L000080,2026-03-17,2026-03,C0294,Mumbai,West,App,Credit Card,45-54,Basic,P003,Fitness,Equipment,Adjustable Dumbbell Pair,IronFlex,2,4118.97,27,6013.7,4500.0,1513.7,0,Not Returned,0.0,6013.7,4.3
O00068,L000081,2026-05-12,2026-05,C0426,Ahmedabad,West,App,Net Banking,25-34,Gold,P004,Fitness,Accessories,Yoga Mat Pro,ZenMove,2,1535.04,10,2763.07,1520.0,1243.07,0,Not Returned,0.0,2763.07,4.5
O00069,L000082,2026-03-29,2026-03,C0144,Mumbai,West,App,Debit Card,45-54,Basic,P014,Home,Decor,Aroma Diffuser,LumaHome,1,1499.0,6,1409.06,620.0,789.06,0,Not Returned,0.0,1409.06,4.7
O00070,L000083,2026-05-19,2026-05,C0045,Hyderabad,South,Website,Credit Card,25-34,Gold,P020,Office,Tech,USB-C Hub,ConnectPro,1,2499.0,10,2249.1,1330.0,919.1,0,Not Returned,0.0,2249.1,3.9
O00071,L000084,2026-04-16,2026-04,C0184,Delhi NCR,North,Website,UPI,25-34,Gold,P010,Home,Kitchen,Smoothie Blender,HomeJoy,1,2939.02,11,2615.73,1710.0,905.73,0,Not Returned,0.0,2615.73,4.9
O00072,L000085,2026-03-05,2026-03,C0500,Bengaluru,South,App,Credit Card,35-44,Silver,P001,Fitness,Equipment,Smart Skipping Rope,FitPulse,1,1299.0,25,974.25,610.0,364.25,0,Not Returned,0.0,974.25,5.0
O00073,L000086,2026-04-07,2026-04,C0487,Hyderabad,South,App,Credit Card,55+,Silver,P024,Wellness,Hydration,Infuser Water Bottle,PureSip,2,822.97,1,1629.48,520.0,1109.48,0,Not Returned,0.0,1629.48,4.5
O00074,L000087,2026-04-16,2026-04,C0376,Delhi NCR,North,Website,Credit Card,35-44,Basic,P024,Wellness,Hydration,Infuser Water Bottle,PureSip,1,783.02,0,783.02,260.0,523.02,0,Not Returned,0.0,783.02,4.0
O00075,L000088,2026-03-20,2026-03,C0209,Bengaluru,South,Website,Debit Card,18-24,Gold,P004,Fitness,Accessories,Yoga Mat Pro,ZenMove,1,1567.02,25,1175.26,760.0,415.26,0,Not Returned,0.0,1175.26,4.8
O00075,L000089,2026-03-20,2026-03,C0209,Bengaluru,South,Website,Debit Card,18-24,Gold,P002,Fitness,Equipment,Resistance Band Set,FitPulse,2,881.02,26,1303.91,640.0,663.91,0,Not Returned,0.0,1303.91,4.8
O00075,L000090,2026-03-20,2026-03,C0209,Bengaluru,South,Website,Debit Card,18-24,Gold,P003,Fitness,Equipment,Adjustable Dumbbell Pair,IronFlex,1,3839.04,23,2956.06,2250.0,706.06,0,Not Returned,0.0,2956.06,4.8
O00075,L000091,2026-03-20,2026-03,C0209,Bengaluru,South,Website,Debit Card,18-24,Gold,P032,Home,Bedding,Cooling Pillow,NestEasy,2,1999.0,25,2998.5,1800.0,1198.5,0,Not Returned,0.0,2998.5,4.8
O00076,L000092,2026-02-22,2026-02,C0007,Jaipur,North,Website,Cash on Delivery,35-44,Basic,P017,Office,Accessories,Wireless Keyboard,KeyCraft,1,1899.0,1,1880.01,1040.0,840.01,0,Not Returned,0.0,1880.01,3.6
O00076,L000093,2026-02-22,2026-02,C0007,Jaipur,North,Website,Cash on Delivery,35-44,Basic,P015,Office,Furniture,Ergonomic Chair,WorkNest,1,8999.0,0,8999.0,6100.0,2899.0,0,Not Returned,0.0,8999.0,3.6
O00077,L000094,2026-01-27,2026-01,C0080,Pune,West,Website,Debit Card,18-24,Basic,P022,Wellness,Personal Care,Neck Massager,CalmCare,1,3499.0,17,2904.17,2070.0,834.17,0,Not Returned,0.0,2904.17,4.1
O00078,L000095,2026-05-16,2026-05,C0339,Hyderabad,South,App,Debit Card,45-54,Basic,P002,Fitness,Equipment,Resistance Band Set,FitPulse,1,899.0,6,845.06,320.0,525.06,1,Damaged in transit,802.81,42.25,3.3
O00079,L000096,2026-02-02,2026-02,C0500,Bengaluru,South,Marketplace,UPI,35-44,Silver,P018,Office,Accessories,Vertical Mouse,KeyCraft,1,1499.0,9,1364.09,760.0,604.09,0,Not Returned,0.0,1364.09,4.2
O00079,L000097,2026-02-02,2026-02,C0500,Bengaluru,South,Marketplace,UPI,35-44,Silver,P003,Fitness,Equipment,Adjustable Dumbbell Pair,IronFlex,1,3999.0,8,3679.08,2250.0,1429.08,0,Not Returned,0.0,3679.08,4.2
O00079,L000098,2026-02-02,2026-02,C0500,Bengaluru,South,Marketplace,UPI,35-44,Silver,P031,Fitness,Equipment,Kettlebell 8KG,IronFlex,1,2599.0,8,2391.08,1600.0,791.08,0,Not Returned,0.0,2391.08,4.2
O00080,L000099,2026-01-10,2026-01,C0462,Pune,West,Marketplace,UPI,25-34,Silver,P004,Fitness,Accessories,Yoga Mat Pro,ZenMove,1,1646.97,6,1548.15,760.0,788.15,0,Not Returned,0.0,1548.15,4.2
O00081,L000100,2026-03-22,2026-03,C0304,Delhi NCR,North,App,Credit Card,35-44,Gold,P001,Fitness,Equipment,Smart Skipping Rope,FitPulse,1,1299.0,27,948.27,610.0,338.27,0,Not Returned,0.0,948.27,3.8
O00082,L000101,2026-05-07,2026-05,C0514,Mumbai,West,Website,UPI,25-34,Gold,P028,Travel,Accessories,Travel Neck Pillow,TripEase,1,899.0,1,890.01,300.0,590.01,0,Not Returned,0.0,890.01,4.4
O00083,L000102,2026-03-11,2026-03,C0182,Pune,West,App,Cash on Delivery,35-44,Basic,P021,Wellness,Personal Care,Sleep Mask,CalmCare,1,685.02,27,500.06,220.0,280.06,0,Not Returned,0.0,500.06,3.6
O00084,L000103,2026-05-11,2026-05,C0398,Kochi,South,App,UPI,25-34,Basic,P033,Office,Furniture,Standing Desk Converter,WorkNest,1,6999.0,11,6229.11,4450.0,1779.11,0,Not Returned,0.0,6229.11,3.8
O00085,L000104,2026-04-04,2026-04,C0458,Bengaluru,South,App,Cash on Delivery,25-34,Basic,P034,Wellness,Personal Care,Posture Corrector,CalmCare,1,1324.98,3,1285.23,540.0,745.23,1,Not as expected,1220.97,64.25999999999999,3.7
O00085,L000105,2026-04-04,2026-04,C0458,Bengaluru,South,App,Cash on Delivery,25-34,Basic,P016,Office,Accessories,Laptop Stand,WorkNest,1,1247.04,5,1184.69,520.0,664.69,0,Not Returned,0.0,1184.69,3.7
O00085,L000106,2026-04-04,2026-04,C0458,Bengaluru,South,App,Cash on Delivery,25-34,Basic,P006,Fitness,Wearables,Heart Rate Band,PulseTrack,1,2499.0,5,2374.05,1420.0,954.05,0,Not Returned,0.0,2374.05,3.7
O00086,L000107,2026-01-29,2026-01,C0090,Chennai,South,Website,UPI,25-34,Basic,P034,Wellness,Personal Care,Posture Corrector,CalmCare,1,1324.98,16,1112.98,540.0,572.98,0,Not Returned,0.0,1112.98,4.7
O00087,L000108,2026-02-09,2026-02,C0081,Hyderabad,South,App,UPI,35-44,Basic,P001,Fitness,Equipment,Smart Skipping Rope,FitPulse,1,1273.02,6,1196.64,610.0,586.64,0,Not Returned,0.0,1196.64,4.5
O00088,L000109,2026-04-07,2026-04,C0496,Hyderabad,South,Website,UPI,18-24,Basic,P035,Travel,Accessories,Luggage Scale,TripEase,1,822.97,2,806.51,210.0,596.51,0,Not Returned,0.0,806.51,4.3
O00089,L000110,2026-01-22,2026-01,C0011,Hyderabad,South,Website,Net Banking,35-44,Basic,P019,Office,Stationery,Planner Notebook,PaperTrail,1,499.0,1,494.01,140.0,354.01,0,Not Returned,0.0,494.01,5.0
O00089,L000111,2026-01-22,2026-01,C0011,Hyderabad,South,Website,Net Banking,35-44,Basic,P004,Fitness,Accessories,Yoga Mat Pro,ZenMove,2,1630.98,0,3261.96,1520.0,1741.96,0,Not Returned,0.0,3261.96,5.0
O00090,L000112,2026-04-27,2026-04,C0263,Bengaluru,South,App,Debit Card,18-24,Silver,P023,Wellness,Hydration,Copper Bottle,PureSip,1,979.02,12,861.54,360.0,501.54,0,Not Returned,0.0,861.54,4.4
O00091,L000113,2026-02-22,2026-02,C0481,Pune,West,App,Credit Card,35-44,Basic,P027,Travel,Accessories,Packing Cube Set,TripEase,1,1199.0,10,1079.1,410.0,669.1,0,Not Returned,0.0,1079.1,4.7
O00091,L000114,2026-02-22,2026-02,C0481,Pune,West,App,Credit Card,35-44,Basic,P024,Wellness,Hydration,Infuser Water Bottle,PureSip,2,767.04,9,1396.01,520.0,876.01,0,Not Returned,0.0,1396.01,4.7
