line_id,order_id,product_id,quantity,unit_price,discount_pct,line_revenue,line_cost,line_margin
L000065,O00056,P012,2,2264.97,15,3850.45,2360.0,1490.45
L000066,O00056,P005,1,979.02,13,851.75,410.0,441.75
L000067,O00057,P002,2,899.0,0,1798.0,640.0,1158.0
L000068,O00058,P010,2,2999.0,18,4918.36,3420.0,1498.36
L000069,O00059,P014,1,1499.0,19,1214.19,620.0,594.19
L000070,O00060,P014,1,1439.04,1,1424.65,620.0,804.65
L000071,O00061,P016,1,1247.04,10,1122.34,520.0,602.34
L000072,O00062,P008,1,1199.0,10,1079.1,520.0,559.1
L000073,O00062,P035,2,799.0,8,1470.16,420.0,1050.16
L000074,O00062,P033,1,6859.02,11,6104.53,4450.0,1654.53
L000075,O00063,P031,1,2599.0,10,2339.1,1600.0,739.1
L000076,O00064,P023,2,999.0,13,1738.26,720.0,1018.26
L000077,O00065,P011,2,734.02,0,1468.04,500.0,968.04
L000078,O00066,P014,1,1543.97,7,1435.89,620.0,815.89
L000079,O00067,P007,2,2155.02,27,3146.33,2040.0,1106.33
L000080,O00067,P003,2,4118.97,27,6013.7,4500.0,1513.7
L000081,O00068,P004,2,1535.04,10,2763.07,1520.0,1243.07
L000082,O00069,P014,1,1499.0,6,1409.06,620.0,789.06
L000083,O00070,P020,1,2499.0,10,2249.1,1330.0,919.1
L000084,O00071,P010,1,2939.02,11,2615.73,1710.0,905.73
L000085,O00072,P001,1,1299.0,25,974.25,610.0,364.25
L000086,O00073,P024,2,822.97,1,1629.48,520.0,1109.48
L000087,O00074,P024,1,783.02,0,783.02,260.0,523.02
L000088,O00075,P004,1,1567.02,25,1175.26,760.0,415.26
L000089,O00075,P002,2,881.02,26,1303.91,640.0,663.91
L000090,O00075,P003,1,3839.04,23,2956.06,2250.0,706.06
L000091,O00075,P032,2,1999.0,25,2998.5,1800.0,1198.5
L000092,O00076,P017,1,1899.0,1,1880.01,1040.0,840.01
L000093,O00076,P015,1,8999.0,0,8999.0,6100.0,2899.0
L000094,O00077,P022,1,3499.0,17,2904.17,2070.0,834.17
L000095,O00078,P002,1,899.0,6,845.06,320.0,525.06
L000096,O00079,P018,1,1499.0,9,1364.09,760.0,604.09
L000097,O00079,P003,1,3999.0,8,3679.08,2250.0,1429.08
L000098,O00079,P031,1,2599.0,8,2391.08,1600.0,791.08
L000099,O00080,P004,1,1646.97,6,1548.15,760.0,788.15
L000100,O00081,P001,1,1299.0,27,948.27,610.0,338.27
L000101,O00082,P028,1,899.0,1,890.01,300.0,590.01
L000102,O00083,P021,1,685.02,27,500.06,220.0,280.06
L000103,O00084,P033,1,6999.0,11,6229.11,4450.0,1779.11
L000104,O00085,P034,1,1324.98,3,1285.23,540.0,745.23
L000105,O00085,P016,1,1247.04,5,1184.69,520.0,664.69
L000106,O00085,P006,1,2499.0,5,2374.05,1420.0,954.05
L000107,O00086,P034,1,1324.98,16,1112.98,540.0,572.98
L000108,O00087,P001,1,1273.02,6,1196.64,610.0,586.64
L000109,O00088,P035,1,822.97,2,806.51,210.0,596.51
L000110,O00089,P019,1,499.0,1,494.01,140.0,354.01
L000111,O00089,P004,2,1630.98,0,3261.96,1520.0,1741.96
L000112,O00090,P023,1,979.02,12,861.54,360.0,501.54
L000113,O00091,P027,1,1199.0,10,1079.1,410.0,669.1
L000114,O00091,P024,2,767.04,9,1396.01,520.0,876.01
L000115,O00092,P025,1,1727.04,6,1623.42,850.0,773.42
L000116,O00092,P009,1,5999.0,6,5639.06,3950.0,1689.06
L000117,O00092,P006,1,2548.98,8,2345.06,1420.0,925.06
L000118,O00093,P030,1,1936.98,25,1452.74,760.0,692.74
L000119,O00094,P028,1,925.97,2,907.45,300.0,607.45
L000120,O00095,P028,2,899.0,10,1618.2,600.0,1018.2
L000121,O00096,P031,2,2650.98,20,4241.57,3200.0,1041.57
L000122,O00097,P030,1,1936.98,2,1898.24,760.0,1138.24
L000123,O00098,P033,1,6859.02,21,5418.63,4450.0,968.63
L000124,O00098,P026,2,2879.04,18,4721.63,2700.0,2021.63
L000125,O00098,P035,1,814.98,22,635.68,210.0,425.68
L000126,O00098,P018,1,1499.0,20,1199.2,760.0,439.2
L000127,O00099,P031,1,2599.0,2,2547.02,1600.0,947.02
L000128,O00100,P009,1,6118.98,9,5568.27,3950.0,1618.27
L000129,O00101,P009,1,5999.0,13,5219.13,3950.0,1269.13
L000130,O00101,P026,1,2999.0,13,2609.13,1350.0,1259.13
L000131,O00102,P010,1,3088.97,11,2749.18,1710.0,1039.18
L000132,O00103,P008,1,1151.04,0,1151.04,520.0,631.04
L000133,O00104,P001,2,1337.97,11,2381.59,1220.0,1161.59
L000134,O00104,P006,1,2548.98,8,2345.06,1420.0,925.06
L000135,O00105,P022,1,3568.98,10,3212.08,2070.0,1142.08
L000136,O00106,P003,2,4078.98,0,8157.96,4500.0,3657.96
L000137,O00108,P008,1,1199.0,13,1043.13,520.0,523.13
L000138,O00109,P016,1,1324.98,10,1192.48,520.0,672.48
L000139,O00110,P019,1,508.98,10,458.08,140.0,318.08
L000140,O00111,P017,1,1899.0,0,1899.0,1040.0,859.0
L000141,O00112,P011,1,719.04,0,719.04,250.0,469.04
L000142,O00113,P015,1,8819.02,3,8554.45,6100.0,2454.45
L000143,O00114,P013,1,4409.02,25,3306.77,2950.0,356.77
L000144,O00115,P034,2,1324.98,12,2331.96,1080.0,1251.96
L000145,O00116,P001,2,1247.04,1,2469.14,1220.0,1249.14
L000146,O00116,P011,1,749.0,0,749.0,250.0,499.0
L000147,O00117,P015,1,9268.97,20,7415.18,6100.0,1315.18
L000148,O00118,P017,1,1955.97,12,1721.25,1040.0,681.25
L000149,O00118,P019,2,513.97,11,914.87,280.0,634.87
L000150,O00119,P031,1,2676.97,20,2141.58,1600.0,541.58
L000151,O00120,P035,1,767.04,10,690.34,210.0,480.34
L000152,O00121,P015,1,8999.0,8,8279.08,6100.0,2179.08
L000153,O00122,P006,1,2499.0,0,2499.0,1420.0,1079.0
L000154,O00123,P031,1,2599.0,10,2339.1,1600.0,739.1
L000155,O00123,P007,2,2242.98,12,3947.64,2040.0,1907.64
L000156,O00123,P009,1,5879.02,8,5408.7,3950.0,1458.7
L000157,O00124,P014,1,1499.0,10,1349.1,620.0,729.1
L000158,O00125,P013,2,4499.0,2,8818.04,5900.0,2918.04
L000159,O00126,P015,1,8819.02,0,8819.02,6100.0,2719.02
L000160,O00127,P018,2,1499.0,0,2998.0,1520.0,1478.0
L000161,O00128,P032,1,1959.02,25,1469.26,900.0,569.26
L000162,O00128,P010,1,3088.97,27,2254.95,1710.0,544.95
L000163,O00128,P002,1,863.04,25,647.28,320.0,327.28
L000164,O00128,P005,1,999.0,26,739.26,410.0,329.26
L000165,O00129,P033,1,7208.97,0,7208.97,4450.0,2758.97
L000166,O00130,P010,1,2999.0,8,2759.08,1710.0,1049.08
L000167,O00131,P007,1,2264.97,9,2061.12,1020.0,1041.12
L000168,O00132,P014,1,1499.0,12,1319.12,620.0,699.12
L000169,O00133,P008,1,1234.97,0,1234.97,520.0,714.97
L000170,O00133,P002,1,916.98,2,898.64,320.0,578.64
L000171,O00134,P012,2,2155.02,0,4310.04,2360.0,1950.04
L000172,O00134,P015,1,9178.98,0,9178.98,6100.0,3078.98
L000173,O00135,P035,1,822.97,0,822.97,210.0,612.97
L000174,O00136,P031,1,2495.04,8,2295.44,1600.0,695.44
L000175,O00137,P006,1,2449.02,3,2375.55,1420.0,955.55
L000176,O00137,P023,1,999.0,5,949.05,360.0,589.05
L000177,O00138,P005,2,1018.98,2,1997.2,820.0,1177.2
L000178,O00139,P029,3,1567.02,11,4183.94,2100.0,2083.94
L000179,O00139,P022,1,3499.0,10,3149.1,2070.0,1079.1
L000180,O00139,P016,2,1273.02,11,2265.98,1040.0,1225.98
L000181,O00139,P031,4,2547.02,10,9169.27,6400.0,2769.27
L000182,O00140,P010,1,3058.98,16,2569.54,1710.0,859.54
L000183,O00141,P010,1,2939.02,0,2939.02,1710.0,1229.02
L000184,O00142,P026,1,3058.98,27,2233.06,1350.0,883.06
L000185,O00143,P020,2,2449.02,8,4506.2,2660.0,1846.2
L000186,O00144,P003,2,3839.04,5,7294.18,4500.0,2794.18
L000187,O00145,P003,1,4118.97,14,3542.31,2250.0,1292.31
L000188,O00146,P001,1,1273.02,27,929.3,610.0,319.3
L000189,O00147,P023,2,1028.97,0,2057.94,720.0,1337.94
L000190,O00147,P017,1,1861.02,2,1823.8,1040.0,783.8
L000191,O00148,P020,2,2548.98,18,4180.33,2660.0,1520.33
L000192,O00149,P020,2,2399.04,18,3934.43,2660.0,1274.43
L000193,O00150,P002,1,899.0,20,719.2,320.0,399.2
L000194,O00151,P017,1,1899.0,10,1709.1,1040.0,669.1
L000195,O00151,P003,1,3839.04,8,3531.92,2250.0,1281.92
L000196,O00151,P022,1,3499.0,10,3149.1,2070.0,1079.1
L000197,O00152,P031,1,2495.04,0,2495.04,1600.0,895.04
L000198,O00152,P014,1,1543.97,0,1543.97,620.0,923.97
L000199,O00153,P033,1,6999.0,14,6019.14,4450.0,1569.14
L000200,O00153,P024,1,814.98,13,709.03,260.0,449.03
L000201,O00153,P010,1,2879.04,13,2504.76,1710.0,794.76
L000202,O00154,P020,2,2449.02,20,3918.43,2660.0,1258.43
L000203,O00154,P010,2,3058.98,18,5016.73,3420.0,1596.73
L000204,O00155,P028,2,925.97,7,1722.3,600.0,1122.3
L000205,O00155,P017,1,1899.0,5,1804.05,1040.0,764.05
L000206,O00155,P002,2,899.0,6,1690.12,640.0,1050.12
L000207,O00156,P028,2,925.97,5,1759.34,600.0,1159.34
L000208,O00157,P007,1,2111.04,0,2111.04,1020.0,1091.04
L000209,O00158,P001,1,1324.98,25,993.74,610.0,383.74
L000210,O00159,P016,1,1299.0,21,1026.21,520.0,506.21
L000211,O00159,P017,1,1899.0,22,1481.22,1040.0,441.22
L000212,O00160,P010,2,2999.0,15,5098.3,3420.0,1678.3
L000213,O00160,P012,1,2242.98,16,1884.1,1180.0,704.1
L000214,O00161,P023,1,959.04,10,863.14,360.0,503.14
L000215,O00161,P031,1,2650.98,6,2491.92,1600.0,891.92
L000216,O00161,P020,2,2399.04,6,4510.2,2660.0,1850.2
L000217,O00162,P008,2,1234.97,26,1827.76,1040.0,787.76
L000218,O00162,P004,1,1646.97,27,1202.29,760.0,442.29
L000219,O00163,P015,1,8999.0,2,8819.02,6100.0,2719.02
L000220,O00164,P002,1,863.04,0,863.04,320.0,543.04
L000221,O00165,P029,2,1630.98,0,3261.96,1400.0,1861.96
L000222,O00166,P016,2,1247.04,23,1920.44,1040.0,880.44
L000223,O00167,P015,1,9178.98,2,8995.4,6100.0,2895.4
L000224,O00167,P028,1,863.04,0,863.04,300.0,563.04
L000225,O00168,P027,2,1222.98,7,2274.74,820.0,1454.74
L000226,O00169,P020,1,2499.0,7,2324.07,1330.0,994.07
L000227,O00170,P035,1,799.0,27,583.27,210.0,373.27
L000228,O00170,P002,1,899.0,23,692.23,320.0,372.23
L000229,O00171,P005,2,1028.97,6,1934.46,820.0,1114.46
L000230,O00172,P020,1,2499.0,5,2374.05,1330.0,1044.05
L000231,O00173,P013,1,4499.0,1,4454.01,2950.0,1504.01
L000232,O00173,P015,1,8999.0,2,8819.02,6100.0,2719.02
L000233,O00174,P035,1,783.02,8,720.38,210.0,510.38
L000234,O00174,P021,1,685.02,8,630.22,220.0,410.22
L000235,O00175,P008,1,1199.0,18,983.18,520.0,463.18
L000236,O00176,P006,1,2548.98,5,2421.53,1420.0,1001.53
L000237,O00177,P018,1,1543.97,18,1266.06,760.0,506.06
L000238,O00178,P008,1,1199.0,6,1127.06,520.0,607.06
L000239,O00179,P022,1,3603.97,0,3603.97,2070.0,1533.97
L000240,O00180,P021,1,699.0,23,538.23,220.0,318.23
L000241,O00180,P003,2,4078.98,25,6118.47,4500.0,1618.47
L000242,O00181,P001,2,1337.97,17,2221.03,1220.0,1001.03
L000243,O00181,P009,1,5879.02,15,4997.17,3950.0,1047.17
L000244,O00181,P006,2,2499.0,17,4148.34,2840.0,1308.34
L000245,O00182,P016,2,1337.97,1,2649.18,1040.0,1609.18
L000246,O00183,P012,1,2155.02,7,2004.17,1180.0,824.17
L000247,O00184,P025,1,1763.02,12,1551.46,850.0,701.46
L000248,O00185,P008,2,1199.0,23,1846.46,1040.0,806.46
L000249,O00186,P018,1,1499.0,20,1199.2,760.0,439.2
L000250,O00187,P003,1,3839.04,5,3647.09,2250.0,1397.09
L000251,O00188,P017,1,1899.0,10,1709.1,1040.0,669.1
L000252,O00189,P015,1,8999.0,8,8279.08,6100.0,2179.08
L000253,O00189,P006,2,2399.04,10,4318.27,2840.0,1478.27
L000254,O00190,P011,2,771.47,13,1342.36,500.0,842.36
L000255,O00191,P011,1,763.98,0,763.98,250.0,513.98
L000256,O00193,P022,1,3499.0,10,3149.1,2070.0,1079.1
L000257,O00194,P002,1,863.04,0,863.04,320.0,543.04
L000258,O00194,P016,3,1324.98,0,3974.94,1560.0,2414.94
L000259,O00194,P028,1,916.98,0,916.98,300.0,616.98
L000260,O00195,P013,1,4499.0,19,3644.19,2950.0,694.19
L000261,O00195,P007,1,2199.0,18,1803.18,1020.0,783.18
L000262,O00195,P011,1,734.02,19,594.56,250.0,344.56
L000263,O00197,P004,1,1567.02,5,1488.67,760.0,728.67
L000264,O00198,P015,1,9178.98,0,9178.98,6100.0,3078.98
L000265,O00199,P024,1,783.02,10,704.72,260.0,444.72
L000266,O00200,P003,1,3839.04,0,3839.04,2250.0,1589.04
L000267,O00200,P021,1,685.02,0,685.02,220.0,465.02
L000268,O00200,P004,2,1646.97,2,3228.06,1520.0,1708.06
L000269,O00201,P004,1,1646.97,11,1465.8,760.0,705.8
L000270,O00202,P007,1,2264.97,25,1698.73,1020.0,678.73
L000271,O00202,P031,1,2547.02,26,1884.79,1600.0,284.79
L000272,O00202,P027,2,1234.97,27,1803.06,820.0,983.06
L000273,O00203,P032,3,1959.02,1,5818.29,2700.0,3118.29
L000274,O00204,P021,1,712.98,8,655.94,220.0,435.94
L000275,O00205,P010,1,2999.0,5,2849.05,1710.0,1139.05
L000276,O00206,P008,3,1199.0,7,3345.21,1560.0,1785.21
L000277,O00207,P005,1,999.0,10,899.1,410.0,489.1
L000278,O00208,P007,1,2264.97,13,1970.52,1020.0,950.52
L000279,O00209,P015,2,9178.98,10,16522.16,12200.0,4322.16
L000280,O00210,P031,1,2650.98,22,2067.76,1600.0,467.76
L000281,O00210,P002,1,899.0,22,701.22,320.0,381.22
L000282,O00211,P027,4,1222.98,2,4794.08,1640.0,3154.08
L000283,O00212,P014,1,1439.04,10,1295.14,620.0,675.14
L000284,O00213,P025,1,1852.97,9,1686.2,850.0,836.2
L000285,O00214,P024,3,783.02,10,2114.15,780.0,1334.15
L000286,O00214,P006,1,2449.02,9,2228.61,1420.0,808.61
L000287,O00216,P028,1,899.0,0,899.0,300.0,599.0
L000288,O00216,P008,1,1234.97,0,1234.97,520.0,714.97
L000289,O00217,P017,1,1861.02,0,1861.02,1040.0,821.02
L000290,O00217,P018,3,1543.97,0,4631.91,2280.0,2351.91
L000291,O00218,P005,2,1018.98,15,1732.27,820.0,912.27
L000292,O00219,P005,1,999.0,0,999.0,410.0,589.0
L000293,O00219,P013,1,4633.97,2,4541.29,2950.0,1591.29
L000294,O00220,P007,1,2242.98,0,2242.98,1020.0,1222.98
L000295,O00221,P005,1,999.0,1,989.01,410.0,579.01
L000296,O00222,P022,1,3568.98,10,3212.08,2070.0,1142.08
L000297,O00222,P016,1,1273.02,11,1132.99,520.0,612.99
L000298,O00223,P010,2,3058.98,10,5506.16,3420.0,2086.16
L000299,O00224,P010,1,2999.0,0,2999.0,1710.0,1289.0
L000300,O00224,P030,1,1861.02,0,1861.02,760.0,1101.02
L000301,O00224,P031,1,2547.02,1,2521.55,1600.0,921.55
L000302,O00225,P005,4,1028.97,26,3045.75,1640.0,1405.75
L000303,O00225,P007,1,2264.97,25,1698.73,1020.0,678.73
L000304,O00226,P032,1,2038.98,0,2038.98,900.0,1138.98
L000305,O00226,P016,1,1247.04,0,1247.04,520.0,727.04
L000306,O00227,P006,1,2399.04,3,2327.07,1420.0,907.07
L000307,O00228,P016,1,1273.02,9,1158.45,520.0,638.45
L000308,O00228,P013,1,4588.98,8,4221.86,2950.0,1271.86
L000309,O00228,P035,1,799.0,6,751.06,210.0,541.06
L000310,O00229,P020,2,2573.97,12,4530.19,2660.0,1870.19
L000311,O00230,P008,1,1151.04,0,1151.04,520.0,631.04
L000312,O00230,P019,1,513.97,2,503.69,140.0,363.69
L000313,O00230,P014,1,1439.04,0,1439.04,620.0,819.04
L000314,O00231,P001,1,1299.0,0,1299.0,610.0,689.0
L000315,O00232,P031,1,2599.0,15,2209.15,1600.0,609.15
L000316,O00233,P010,2,2999.0,0,5998.0,3420.0,2578.0
L000317,O00234,P014,1,1499.0,10,1349.1,620.0,729.1
L000318,O00234,P018,1,1499.0,10,1349.1,760.0,589.1
L000319,O00235,P027,1,1175.02,20,940.02,410.0,530.02
L000320,O00236,P035,1,799.0,0,799.0,210.0,589.0
L000321,O00237,P020,2,2399.04,8,4414.23,2660.0,1754.23
L000322,O00238,P015,1,8999.0,6,8459.06,6100.0,2359.06
L000323,O00239,P002,3,863.04,18,2123.08,960.0,1163.08
L000324,O00239,P035,1,822.97,16,691.29,210.0,481.29
L000325,O00240,P010,1,3058.98,0,3058.98,1710.0,1348.98
L000326,O00241,P007,2,2111.04,0,4222.08,2040.0,2182.08
L000327,O00241,P030,1,1861.02,0,1861.02,760.0,1101.02
L000328,O00242,P005,2,1028.97,8,1893.3,820.0,1073.3
L000329,O00243,P019,3,499.0,0,1497.0,420.0,1077.0
L000330,O00243,P032,1,2038.98,0,2038.98,900.0,1138.98
L000331,O00244,P007,3,2264.97,26,5028.23,3060.0,1968.23
L000332,O00244,P001,2,1299.0,25,1948.5,1220.0,728.5
L000333,O00245,P027,2,1234.97,0,2469.94,820.0,1649.94
L000334,O00245,P001,1,1337.97,2,1311.21,610.0,701.21
L000335,O00245,P029,1,1535.04,0,1535.04,700.0,835.04
L000336,O00246,P003,2,3839.04,12,6756.71,4500.0,2256.71
L000337,O00247,P011,1,771.47,3,748.33,250.0,498.33
L000338,O00248,P014,1,1499.0,0,1499.0,620.0,879.0
L000339,O00249,P032,1,2038.98,5,1937.03,900.0,1037.03
L000340,O00250,P033,1,6999.0,18,5739.18,4450.0,1289.18
L000341,O00250,P014,1,1499.0,20,1199.2,620.0,579.2
L000342,O00251,P032,1,1919.04,0,1919.04,900.0,1019.04
L000343,O00252,P007,1,2111.04,5,2005.49,1020.0,985.49
L000344,O00254,P014,1,1469.02,10,1322.12,620.0,702.12
L000345,O00255,P020,1,2548.98,0,2548.98,1330.0,1218.98
L000346,O00256,P032,1,2038.98,20,1631.18,900.0,731.18
L000347,O00256,P010,2,2879.04,16,4836.79,3420.0,1416.79
L000348,O00256,P031,2,2495.04,16,4191.67,3200.0,991.67
L000349,O00257,P033,1,7208.97,3,6992.7,4450.0,2542.7
L000350,O00257,P009,1,5759.04,7,5355.91,3950.0,1405.91
L000351,O00257,P021,1,699.0,5,664.05,220.0,444.05
L000352,O00258,P027,1,1151.04,10,1035.94,410.0,625.94
L000353,O00259,P019,1,479.04,12,421.56,140.0,281.56
L000354,O00260,P007,1,2199.0,10,1979.1,1020.0,959.1
L000355,O00261,P019,1,479.04,12,421.56,140.0,281.56
L000356,O00262,P020,2,2499.0,11,4448.22,2660.0,1788.22
L000357,O00262,P034,2,1299.0,11,2312.22,1080.0,1232.22
L000358,O00263,P002,1,899.0,23,692.23,320.0,372.23
L000359,O00263,P016,1,1324.98,27,967.24,520.0,447.24
L000360,O00264,P010,1,3088.97,20,2471.18,1710.0,761.18
L000361,O00264,P015,1,8999.0,21,7109.21,6100.0,1009.21
L000362,O00264,P020,2,2548.98,22,3976.41,2660.0,1316.41
L000363,O00264,P005,1,1018.98,20,815.18,410.0,405.18
L000364,O00265,P018,1,1499.0,20,1199.2,760.0,439.2
L000365,O00265,P033,1,6859.02,21,5418.63,4450.0,968.63
L000366,O00266,P012,1,2264.97,22,1766.68,1180.0,586.68
L000367,O00267,P006,1,2499.0,0,2499.0,1420.0,1079.0
L000368,O00268,P009,1,5879.02,18,4820.8,3950.0,870.8
L000369,O00268,P030,1,1936.98,19,1568.95,760.0,808.95
L000370,O00269,P023,4,959.04,0,3836.16,1440.0,2396.16
L000371,O00270,P026,1,2939.02,12,2586.34,1350.0,1236.34
L000372,O00271,P006,1,2548.98,11,2268.59,1420.0,848.59
L000373,O00272,P007,1,2155.02,5,2047.27,1020.0,1027.27
L000374,O00273,P003,2,4118.97,0,8237.94,4500.0,3737.94
L000375,O00274,P019,1,499.0,0,499.0,140.0,359.0
L000376,O00275,P011,1,719.04,21,568.04,250.0,318.04
L000377,O00276,P014,1,1469.02,7,1366.19,620.0,746.19
L000378,O00276,P034,1,1273.02,7,1183.91,540.0,643.91
L000379,O00276,P022,2,3429.02,7,6377.98,4140.0,2237.98
L000380,O00276,P031,2,2650.98,6,4983.84,3200.0,1783.84
L000381,O00277,P018,2,1499.0,5,2848.1,1520.0,1328.1
L000382,O00277,P021,1,699.0,7,650.07,220.0,430.07
L000383,O00278,P010,2,3088.97,16,5189.47,3420.0,1769.47
L000384,O00278,P031,2,2599.0,16,4366.32,3200.0,1166.32
L000385,O00278,P032,1,1959.02,20,1567.22,900.0,667.22
L000386,O00278,P011,1,734.02,16,616.58,250.0,366.58
L000387,O00279,P013,1,4409.02,5,4188.57,2950.0,1238.57
L000388,O00279,P006,1,2399.04,5,2279.09,1420.0,859.09
L000389,O00279,P020,2,2449.02,6,4604.16,2660.0,1944.16
L000390,O00279,P035,1,814.98,5,774.23,210.0,564.23
L000391,O00280,P027,3,1222.98,6,3448.8,1230.0,2218.8
L000392,O00281,P009,2,5999.0,5,11398.1,7900.0,3498.1
L000393,O00281,P016,2,1299.0,5,2468.1,1040.0,1428.1
L000394,O00282,P010,1,2999.0,6,2819.06,1710.0,1109.06
L000395,O00283,P015,1,8639.04,12,7602.36,6100.0,1502.36
L000396,O00284,P034,1,1247.04,0,1247.04,540.0,707.04
L000397,O00284,P004,1,1599.0,0,1599.0,760.0,839.0
L000398,O00285,P001,1,1273.02,0,1273.02,610.0,663.02
L000399,O00285,P024,1,783.02,0,783.02,260.0,523.02
L000400,O00286,P004,2,1630.98,27,2381.23,1520.0,861.23
L000401,O00286,P003,1,4078.98,25,3059.24,2250.0,809.24
L000402,O00286,P001,3,1337.97,26,2970.29,1830.0,1140.29
L000403,O00286,P002,1,881.02,26,651.95,320.0,331.95
L000404,O00287,P022,1,3603.97,6,3387.73,2070.0,1317.73
L000405,O00287,P012,1,2264.97,5,2151.72,1180.0,971.72
L000406,O00287,P005,1,1018.98,3,988.41,410.0,578.41
L000407,O00287,P031,1,2599.0,6,2443.06,1600.0,843.06
L000408,O00288,P035,1,822.97,5,781.82,210.0,571.82
L000409,O00289,P021,1,712.98,10,641.68,220.0,421.68
L000410,O00290,P013,1,4409.02,22,3439.04,2950.0,489.04
L000411,O00292,P010,1,2999.0,20,2399.2,1710.0,689.2
L000412,O00293,P029,1,1535.04,5,1458.29,700.0,758.29
L000413,O00293,P013,1,4588.98,6,4313.64,2950.0,1363.64
L000414,O00293,P027,2,1222.98,3,2372.58,820.0,1552.58
L000415,O00293,P003,1,4118.97,5,3913.02,2250.0,1663.02
