order_id,customer_id,order_date,sales_channel,city,region,payment_method,order_status,delivery_days,shipping_fee,campaign_id,promo_code,customer_rating,has_return
O00094,C0135,2026-04-25,Website,Bengaluru,South,UPI,Delivered,3,0,,,4.5,0
O00095,C0209,2026-03-19,Marketplace,Bengaluru,South,Cash on Delivery,Delivered,6,79,CAMP008,UC008,4.0,0
O00096,C0175,2026-05-10,Website,Bengaluru,South,UPI,Delivered,2,49,CAMP007,UC007,4.5,0
O00097,C0307,2026-01-09,Marketplace,Bengaluru,South,Cash on Delivery,Delivered,3,0,,,5.0,0
O00098,C0491,2026-05-19,Website,Pune,West,UPI,Delivered,5,0,CAMP007,UC007,4.0,0
O00099,C0518,2026-05-12,Marketplace,Mumbai,West,Debit Card,Delivered,3,79,,,4.7,0
O00100,C0462,2026-02-25,Website,Pune,West,Net Banking,Delivered,3,49,,SAVE8,4.8,0
O00101,C0040,2026-02-11,Website,Hyderabad,South,Credit Card,Delivered,4,0,CAMP003,UC003,5.0,0
O00102,C0059,2026-05-12,Marketplace,Mumbai,West,Credit Card,Delivered,6,49,CAMP009,UC009,4.3,0
O00103,C0317,2026-02-06,App,Mumbai,West,Credit Card,Delivered,5,0,,,4.1,0
O00104,C0114,2026-01-09,Website,Hyderabad,South,Credit Card,Delivered,6,49,CAMP001,UC001,3.9,0
O00105,C0433,2026-03-21,Website,Jaipur,North,UPI,Delivered,6,79,,SAVE10,4.1,0
O00106,C0101,2026-02-13,Website,Hyderabad,South,UPI,Delivered,4,0,,,4.3,0
O00107,C0450,2026-03-25,App,Mumbai,West,UPI,Cancelled,,0,CAMP005,UC005,,0
O00108,C0435,2026-01-30,Website,Delhi NCR,North,Cash on Delivery,Delivered,6,79,CAMP002,UC002,4.4,0
O00109,C0098,2026-05-23,Website,Mumbai,West,UPI,Delivered,4,49,CAMP009,UC009,4.3,0
O00110,C0064,2026-01-11,Website,Kochi,South,Net Banking,Delivered,6,0,CAMP001,UC001,3.9,0
O00111,C0249,2026-01-24,App,Chennai,South,Net Banking,Delivered,4,0,,,4.4,0
O00112,C0331,2026-05-31,Website,Kochi,South,Cash on Delivery,Delivered,5,0,,,4.4,0
O00113,C0069,2026-03-03,Marketplace,Hyderabad,South,UPI,Delivered,5,0,,SAVE5,3.7,0
O00114,C0337,2026-03-20,Website,Pune,West,Net Banking,Delivered,3,49,CAMP004,UC004,5.0,0
O00115,C0008,2026-02-15,Website,Mumbai,West,UPI,Delivered,4,149,CAMP003,UC003,4.3,0
O00116,C0433,2026-03-07,App,Jaipur,North,Cash on Delivery,Delivered,6,0,,,4.0,0
O00117,C0026,2026-05-19,App,Chennai,South,UPI,Delivered,4,99,CAMP007,UC007,4.6,0
O00118,C0101,2026-01-13,Website,Hyderabad,South,Debit Card,Delivered,5,49,CAMP001,UC001,4.7,0
O00119,C0445,2026-03-30,Website,Chennai,South,UPI,Delivered,4,99,CAMP005,UC005,4.5,0
O00120,C0179,2026-04-14,Website,Bengaluru,South,Credit Card,Delivered,4,49,CAMP008,UC008,4.0,0
O00121,C0393,2026-04-27,Website,Ahmedabad,West,UPI,Delivered,3,0,CAMP008,UC008,4.7,0
O00122,C0215,2026-05-27,Website,Kochi,South,Net Banking,Delivered,2,0,,,5.0,0
O00123,C0535,2026-02-17,Marketplace,Mumbai,West,UPI,Delivered,5,0,,SAVE10,2.9,1
O00124,C0008,2026-04-29,App,Mumbai,West,UPI,Delivered,4,79,CAMP006,UC006,4.3,0
O00125,C0470,2026-05-19,Website,Ahmedabad,West,UPI,Delivered,5,79,,,4.5,0
O00126,C0262,2026-01-25,App,Mumbai,West,UPI,Delivered,4,149,,,4.6,0
O00127,C0092,2026-03-16,Website,Hyderabad,South,Net Banking,Delivered,3,0,,,4.8,0
O00128,C0060,2026-03-06,Website,Delhi NCR,North,UPI,Delivered,5,99,CAMP004,UC004,4.4,0
O00129,C0056,2026-03-05,App,Delhi NCR,North,Debit Card,Delivered,4,99,,,4.8,0
O00130,C0242,2026-02-19,Website,Chennai,South,Credit Card,Delivered,5,0,,SAVE10,4.0,0
O00131,C0293,2026-05-22,Marketplace,Chennai,South,Debit Card,Delivered,5,0,,SAVE8,4.6,0
O00132,C0500,2026-02-16,Website,Bengaluru,South,UPI,Delivered,3,0,CAMP003,UC003,5.0,0
O00133,C0438,2026-03-13,Website,Mumbai,West,Cash on Delivery,Delivered,5,0,,,4.0,0
O00134,C0249,2026-01-16,App,Chennai,South,Credit Card,Delivered,4,79,,,5.0,0
O00135,C0210,2026-04-27,App,Jaipur,North,Credit Card,Delivered,6,0,,,3.9,0
O00136,C0303,2026-04-13,App,Jaipur,North,UPI,Delivered,5,99,,SAVE8,4.4,0
O00137,C0468,2026-03-17,Website,Hyderabad,South,Credit Card,Delivered,5,0,,SAVE5,5.0,0
O00138,C0190,2026-02-02,Website,Bengaluru,South,Debit Card,Delivered,4,0,,,3.4,1
O00139,C0101,2026-03-19,Website,Hyderabad,South,UPI,Delivered,4,0,,SAVE10,4.8,0
O00140,C0064,2026-01-23,App,Kochi,South,Debit Card,Delivered,5,0,CAMP002,UC002,4.1,0
O00141,C0007,2026-01-31,App,Jaipur,North,Debit Card,Delivered,5,0,,,4.4,0
O00142,C0549,2026-03-17,Website,Mumbai,West,Credit Card,Delivered,5,79,CAMP004,UC004,4.1,0
O00143,C0500,2026-02-07,Website,Bengaluru,South,Debit Card,Delivered,4,0,CAMP008,UC008,5.0,0
O00144,C0496,2026-04-02,Website,Hyderabad,South,Net Banking,Delivered,3,79,,SAVE5,5.0,0
O00145,C0265,2026-02-16,Marketplace,Kochi,South,UPI,Delivered,5,0,CAMP003,UC003,4.0,0
O00146,C0333,2026-03-22,Website,Hyderabad,South,UPI,Delivered,5,0,CAMP004,UC004,2.9,1
O00147,C0066,2026-03-24,App,Bengaluru,South,Net Banking,Delivered,4,0,,,4.5,0
O00148,C0155,2026-05-08,Website,Delhi NCR,North,Debit Card,Delivered,5,0,CAMP007,UC007,4.6,0
O00149,C0543,2026-04-02,Website,Mumbai,West,Cash on Delivery,Delivered,5,0,CAMP005,UC005,4.4,0
O00150,C0472,2026-04-04,App,Delhi NCR,North,UPI,Delivered,5,49,CAMP005,UC005,3.8,0
O00151,C0530,2026-03-14,App,Delhi NCR,North,Debit Card,Delivered,7,0,,SAVE10,3.8,0
O00152,C0487,2026-03-15,App,Hyderabad,South,Debit Card,Delivered,5,49,,,4.0,0
O00153,C0177,2026-02-16,Website,Bengaluru,South,UPI,Delivered,5,49,CAMP003,UC003,4.4,0
O00154,C0483,2026-04-08,App,Hyderabad,South,Debit Card,Delivered,4,0,CAMP005,UC005,4.7,0
O00155,C0543,2026-02-02,Website,Mumbai,West,Debit Card,Delivered,3,79,,SAVE5,4.8,0
O00156,C0542,2026-04-10,Website,Kochi,South,Debit Card,Delivered,5,0,,SAVE5,4.1,0
O00157,C0105,2026-04-06,Marketplace,Hyderabad,South,Credit Card,Delivered,7,0,,,3.8,0
O00158,C0180,2026-03-06,Website,Delhi NCR,North,Credit Card,Delivered,6,0,CAMP004,UC004,4.3,0
O00159,C0060,2026-05-16,App,Delhi NCR,North,UPI,Delivered,5,0,CAMP007,UC007,4.7,0
O00160,C0418,2026-01-25,App,Chennai,South,UPI,Delivered,2,0,CAMP002,UC002,5.0,0
O00161,C0265,2026-02-27,Website,Kochi,South,Debit Card,Delivered,6,0,CAMP008,UC008,2.9,1
O00162,C0483,2026-03-17,App,Hyderabad,South,Net Banking,Delivered,4,0,CAMP004,UC004,3.5,1
O00163,C0492,2026-02-15,Website,Jaipur,North,Net Banking,Delivered,6,49,,,3.9,0
O00164,C0490,2026-01-28,Website,Mumbai,West,UPI,Delivered,2,49,,,4.6,0
O00165,C0435,2026-02-22,App,Delhi NCR,North,UPI,Delivered,8,99,,,3.6,0
O00166,C0007,2026-03-08,Website,Jaipur,North,Credit Card,Delivered,8,149,CAMP004,UC004,2.9,1
O00167,C0483,2026-04-21,Website,Hyderabad,South,Credit Card,Delivered,2,79,,,5.0,0
O00168,C0013,2026-02-25,Marketplace,Delhi NCR,North,Cash on Delivery,Delivered,9,0,,SAVE5,3.5,0
O00169,C0546,2026-02-20,Website,Hyderabad,South,Cash on Delivery,Delivered,3,0,,SAVE5,4.8,0
O00170,C0011,2026-03-05,App,Hyderabad,South,UPI,Delivered,5,49,CAMP004,UC004,4.3,0
O00171,C0235,2026-05-02,App,Pune,West,Credit Card,Delivered,3,99,,SAVE5,4.5,0
O00172,C0530,2026-03-01,App,Delhi NCR,North,UPI,Delivered,7,0,,SAVE5,3.6,0
O00173,C0031,2026-03-03,Website,Mumbai,West,Cash on Delivery,Delivered,3,0,,,5.0,0
O00174,C0537,2026-01-03,Website,Kochi,South,UPI,Delivered,7,0,CAMP001,UC001,3.9,0
O00175,C0520,2026-03-26,App,Mumbai,West,Credit Card,Delivered,2,0,CAMP005,UC005,3.7,1
O00176,C0354,2026-02-17,App,Hyderabad,South,Cash on Delivery,Delivered,4,49,,SAVE5,4.3,0
O00177,C0219,2026-05-13,Marketplace,Ahmedabad,West,Debit Card,Delivered,7,0,CAMP007,UC007,3.7,0
O00178,C0248,2026-01-10,Website,Delhi NCR,North,UPI,Delivered,4,0,CAMP008,UC008,4.8,0
O00179,C0175,2026-05-12,Website,Bengaluru,South,UPI,Delivered,3,0,,,4.3,0
O00180,C0119,2026-03-07,Website,Chennai,South,UPI,Delivered,4,0,CAMP004,UC004,4.5,0
O00181,C0134,2026-01-28,App,Jaipur,North,UPI,Delivered,8,0,CAMP002,UC002,3.1,0
O00182,C0007,2026-04-26,App,Jaipur,North,Credit Card,Delivered,5,0,,,4.4,0
O00183,C0458,2026-02-12,App,Bengaluru,South,Net Banking,Delivered,3,0,,SAVE5,4.9,0
O00184,C0008,2026-01-13,Website,Mumbai,West,UPI,Delivered,4,0,CAMP001,UC001,5.0,0
O00185,C0109,2026-03-11,Website,Pune,West,Debit Card,Delivered,5,79,CAMP004,UC004,4.0,0
O00186,C0351,2026-03-21,Website,Delhi NCR,North,UPI,Delivered,6,0,CAMP005,UC005,4.0,0
O00187,C0337,2026-04-16,Website,Pune,West,Credit Card,Delivered,5,0,,SAVE5,5.0,0
O00188,C0488,2026-04-07,Marketplace,Mumbai,West,UPI,Delivered,6,49,,SAVE8,4.3,0
O00189,C0374,2026-03-06,App,Pune,West,Credit Card,Delivered,6,0,CAMP008,UC008,4.2,0
O00190,C0421,2026-01-31,Website,Mumbai,West,Cash on Delivery,Delivered,4,0,CAMP002,UC002,4.1,0
O00191,C0530,2026-03-24,Website,Delhi NCR,North,Credit Card,Delivered,5,0,,,4.3,0
O00192,C0203,2026-01-22,Website,Pune,West,Net Banking,Cancelled,,0,,,,0
O00193,C0205,2026-05-20,App,Bengaluru,South,Debit Card,Delivered,3,79,CAMP009,UC009,5.0,0
O00194,C0413,2026-02-06,App,Pune,West,UPI,Delivered,5,0,,,3.9,1
O00195,C0009,2026-03-26,Website,Delhi NCR,North,UPI,Delivered,8,49,CAMP005,UC005,2.9,1
O00196,C0426,2026-04-06,Website,Ahmedabad,West,UPI,Cancelled,,0,CAMP005,UC005,,0
O00197,C0498,2026-02-24,App,Bengaluru,South,Debit Card,Delivered,3,49,,SAVE5,4.4,0
O00198,C0337,2026-04-05,App,Pune,West,UPI,Delivered,3,0,,,4.6,0
O00199,C0493,2026-05-21,App,Jaipur,North,UPI,Delivered,5,0,CAMP009,UC009,4.1,0
O00200,C0131,2026-02-10,Website,Ahmedabad,West,Credit Card,Delivered,6,99,,,4.0,0
O00201,C0294,2026-05-24,Website,Mumbai,West,Debit Card,Delivered,5,0,CAMP009,UC009,4.3,0
O00202,C0084,2026-03-10,App,Hyderabad,South,Credit Card,Delivered,2,0,CAMP004,UC004,4.2,0
O00203,C0101,2026-03-19,Website,Hyderabad,South,Credit Card,Delivered,5,49,,,3.8,0
O00204,C0086,2026-03-04,Website,Chennai,South,UPI,Delivered,5,0,,SAVE8,4.3,0
O00205,C0189,2026-04-27,Marketplace,Bengaluru,South,Credit Card,Delivered,2,0,,SAVE5,4.5,0
O00206,C0201,2026-02-26,App,Delhi NCR,North,UPI,Delivered,5,0,,SAVE5,4.0,0
O00207,C0355,2026-05-11,App,Ahmedabad,West,Net Banking,Delivered,3,99,CAMP009,UC009,4.7,0
O00208,C0269,2026-01-28,App,Hyderabad,South,UPI,Delivered,5,49,CAMP002,UC002,3.6,0
O00209,C0462,2026-03-16,Website,Pune,West,UPI,Delivered,5,0,,SAVE8,4.6,0
O00210,C0007,2026-05-17,Website,Jaipur,North,Credit Card,Delivered,4,79,CAMP007,UC007,4.1,1
O00211,C0499,2026-05-08,Website,Pune,West,Credit Card,Delivered,5,0,,,4.3,0
O00212,C0537,2026-01-19,Website,Kochi,South,Credit Card,Delivered,4,49,CAMP001,UC001,3.4,1
O00213,C0013,2026-04-18,Marketplace,Delhi NCR,North,UPI,Delivered,7,49,,SAVE8,4.0,0
O00214,C0500,2026-01-01,Website,Bengaluru,South,Debit Card,Delivered,5,0,CAMP008,UC008,4.4,0
O00215,C0509,2026-03-09,App,Mumbai,West,Net Banking,Cancelled,,0,,,,0
O00216,C0548,2026-01-25,App,Ahmedabad,West,UPI,Delivered,6,49,,,3.9,0
O00217,C0073,2026-04-02,Website,Ahmedabad,West,UPI,Delivered,5,79,,,3.8,0
O00218,C0141,2026-01-25,App,Ahmedabad,West,UPI,Delivered,5,0,CAMP002,UC002,5.0,0
O00219,C0543,2026-04-04,Website,Mumbai,West,Net Banking,Delivered,4,0,,,4.4,1
O00220,C0438,2026-02-25,Marketplace,Mumbai,West,Debit Card,Delivered,5,79,,,4.1,0
O00221,C0158,2026-01-03,Website,Kochi,South,UPI,Delivered,5,0,,,4.8,0
O00222,C0251,2026-01-16,Website,Mumbai,West,Credit Card,Delivered,4,49,CAMP001,UC001,4.7,0
O00223,C0265,2026-03-02,App,Kochi,South,UPI,Delivered,5,149,,SAVE8,4.2,0
O00224,C0435,2026-02-01,Website,Delhi NCR,North,Net Banking,Delivered,7,0,,,4.4,0
O00225,C0049,2026-03-08,App,Bengaluru,South,Credit Card,Delivered,4,0,CAMP004,UC004,4.2,0
O00226,C0056,2026-05-06,Marketplace,Delhi NCR,North,UPI,Delivered,8,0,,,3.5,0
O00227,C0393,2026-05-06,App,Ahmedabad,West,UPI,Delivered,4,0,,SAVE5,4.6,0
O00228,C0157,2026-04-21,Marketplace,Chennai,South,UPI,Delivered,4,0,,SAVE8,3.2,1
O00229,C0262,2026-04-02,Marketplace,Mumbai,West,Credit Card,Delivered,6,0,,SAVE10,3.7,0
O00230,C0129,2026-02-02,App,Kochi,South,Net Banking,Delivered,4,0,,,4.5,0
O00231,C0166,2026-02-28,Website,Kochi,South,UPI,Delivered,6,79,,,3.1,0
O00232,C0435,2026-01-27,App,Delhi NCR,North,Credit Card,Delivered,7,0,CAMP002,UC002,4.2,0
O00233,C0345,2026-02-23,App,Pune,West,UPI,Delivered,5,0,,,4.7,0
O00234,C0157,2026-03-20,Marketplace,Chennai,South,Debit Card,Delivered,3,0,,SAVE10,4.2,0
O00235,C0462,2026-05-09,Website,Pune,West,Cash on Delivery,Delivered,4,0,CAMP007,UC007,4.8,0
O00236,C0436,2026-03-01,Marketplace,Pune,West,Cash on Delivery,Delivered,7,0,,,3.9,0
O00237,C0077,2026-05-23,Website,Mumbai,West,Cash on Delivery,Delivered,2,149,CAMP009,UC009,4.1,1
O00238,C0012,2026-02-03,Marketplace,Delhi NCR,North,UPI,Delivered,7,0,,SAVE8,3.6,0
O00239,C0087,2026-03-29,Website,Hyderabad,South,Debit Card,Delivered,7,49,CAMP005,UC005,3.8,0
O00240,C0134,2026-02-22,App,Jaipur,North,UPI,Delivered,7,0,,,2.9,0
O00241,C0007,2026-05-08,Website,Jaipur,North,UPI,Delivered,4,0,,,5.0,0
O00242,C0100,2026-01-06,Website,Delhi NCR,North,Cash on Delivery,Delivered,6,0,,SAVE10,3.4,0
O00243,C0337,2026-03-31,Website,Pune,West,Credit Card,Delivered,4,0,,,4.5,0
O00244,C0035,2026-03-06,Website,Hyderabad,South,Credit Card,Delivered,4,0,CAMP004,UC004,4.3,0
O00245,C0134,2026-03-08,Website,Jaipur,North,Credit Card,Delivered,6,0,,,3.7,0
O00246,C0286,2026-02-08,Website,Bengaluru,South,Debit Card,Delivered,2,0,CAMP003,UC003,5.0,0
O00247,C0466,2026-02-18,Website,Kochi,South,UPI,Delivered,5,0,,SAVE5,4.3,0
O00248,C0026,2026-02-26,Website,Chennai,South,Net Banking,Delivered,6,0,,,4.2,0
O00249,C0294,2026-02-09,Website,Mumbai,West,Cash on Delivery,Delivered,2,0,,SAVE5,5.0,0
O00250,C0277,2026-04-04,Website,Pune,West,Debit Card,Delivered,5,49,CAMP005,UC005,3.8,1
O00251,C0114,2026-01-24,App,Hyderabad,South,UPI,Delivered,5,99,,,4.2,0
O00252,C0496,2026-04-22,Website,Hyderabad,South,Cash on Delivery,Delivered,6,0,,SAVE5,3.7,0
O00253,C0491,2026-01-11,App,Pune,West,UPI,Cancelled,,0,CAMP001,UC001,,0
O00254,C0201,2026-04-19,Website,Delhi NCR,North,Credit Card,Delivered,6,0,CAMP008,UC008,4.1,0
O00255,C0392,2026-01-31,Website,Kochi,South,UPI,Delivered,4,49,,,4.7,0
O00256,C0303,2026-03-27,Website,Jaipur,North,UPI,Delivered,6,0,CAMP005,UC005,4.1,0
O00257,C0403,2026-02-24,Website,Bengaluru,South,Debit Card,Delivered,3,0,,SAVE5,5.0,0
O00258,C0013,2026-01-20,App,Delhi NCR,North,UPI,Delivered,6,0,CAMP001,UC001,4.5,0
O00259,C0249,2026-01-05,Website,Chennai,South,Credit Card,Delivered,3,0,CAMP001,UC001,4.8,0
O00260,C0427,2026-04-25,App,Chennai,South,UPI,Delivered,3,49,CAMP006,UC006,4.3,0
